source,alpha,onset,offset,FA,MISS,CER,DER,SpkCountAcc
nemo_gpu_run_sxqvt_nodl,0.60,0.55,0.10,0.3242,0.0000,0.0078,0.3320,1.0000
nemo_gpu_run_tbjqx_dl,0.60,0.55,0.10,0.0657,0.0041,0.1180,0.1878,1.0000
nemo_gpu_run_tbjqx_nodl,0.60,0.55,0.10,0.0657,0.0041,0.1180,0.1878,1.0000
nemo_gpu_run_thnuq_dl,0.60,0.55,0.10,0.1995,0.0031,0.1511,0.3538,1.0000
nemo_gpu_run_thnuq_nodl,0.60,0.55,0.10,0.1979,0.0043,0.1186,0.3209,1.0000
nemo_gpu_run_tiido_dl,0.60,0.55,0.10,0.1844,0.0000,0.0124,0.1968,1.0000
nemo_gpu_run_tiido_nodl,0.60,0.55,0.10,0.1844,0.0000,0.0124,0.1968,1.0000
nemo_gpu_run_tkhgs_dl,0.60,0.55,0.10,0.0310,0.0047,0.0000,0.0357,1.0000
nemo_gpu_run_tkhgs_nodl,0.60,0.55,0.10,0.0310,0.0047,0.0000,0.0357,1.0000
nemo_gpu_run_tkybe_dl,0.60,0.55,0.10,0.0249,0.0019,0.0009,0.0277,1.0000
nemo_gpu_run_tkybe_nodl,0.60,0.55,0.10,0.0249,0.0019,0.0009,0.0277,1.0000
nemo_gpu_run_tnjoh_dl,0.60,0.55,0.10,0.1270,0.0000,0.2637,0.3906,1.0000
nemo_gpu_run_tnjoh_nodl,0.60,0.55,0.10,0.1270,0.0000,0.2637,0.3906,1.0000
nemo_gpu_run_tpnyf_dl,0.60,0.55,0.10,0.0479,0.0051,0.0037,0.0567,1.0000
nemo_gpu_run_tpnyf_nodl,0.60,0.55,0.10,0.0479,0.0051,0.0037,0.0567,1.0000
nemo_gpu_run_tpslg_dl,0.60,0.55,0.10,0.0194,0.0000,0.0469,0.0663,1.0000
nemo_gpu_run_tpslg_nodl,0.60,0.55,0.10,0.0194,0.0000,0.0469,0.0663,1.0000
nemo_gpu_run_tvtoe_dl,0.60,0.55,0.10,0.0025,0.0015,0.0547,0.0587,1.0000
nemo_gpu_run_tvtoe_nodl,0.60,0.55,0.10,0.0025,0.0015,0.0547,0.0587,1.0000
nemo_gpu_run_uedkc_dl,0.60,0.55,0.10,0.0370,0.0103,0.1597,0.2069,1.0000
nemo_gpu_run_uedkc_nodl,0.60,0.55,0.10,0.0281,0.0120,0.1561,0.1962,1.0000
nemo_gpu_run_uevxo_dl,0.60,0.55,0.10,0.0000,0.0000,0.0018,0.0018,1.0000
nemo_gpu_run_uevxo_nodl,0.60,0.55,0.10,0.0000,0.0000,0.0018,0.0018,1.0000
nemo_gpu_run_uhfrw_dl,0.60,0.55,0.10,0.0790,0.0128,0.2010,0.2928,1.0000
nemo_gpu_run_uicid_dl,0.60,0.55,0.10,0.2139,0.0279,0.0000,0.2417,1.0000
nemo_gpu_run_uicid_nodl,0.60,0.55,0.10,0.2091,0.0385,0.0000,0.2477,1.0000
nemo_gpu_run_upshw_dl,0.60,0.55,0.10,0.0307,0.0058,0.0257,0.0623,1.0000
nemo_gpu_run_upshw_nodl,0.60,0.55,0.10,0.0307,0.0058,0.0257,0.0623,1.0000
nemo_gpu_run_uqxlg_dl,0.60,0.55,0.10,0.0172,0.0000,0.3080,0.3252,1.0000
nemo_gpu_run_uqxlg_nodl,0.60,0.55,0.10,0.0172,0.0000,0.3080,0.3252,1.0000
nemo_gpu_run_usqam_dl,0.60,0.55,0.10,0.0393,0.0915,0.1274,0.2582,1.0000
nemo_gpu_run_usqam_nodl,0.60,0.55,0.10,0.0403,0.0399,0.0519,0.1321,1.0000
nemo_gpu_run_utial_dl,0.60,0.55,0.10,0.0124,0.0031,0.3620,0.3775,1.0000
nemo_gpu_run_utial_nodl,0.60,0.55,0.10,0.0124,0.0031,0.3620,0.3775,1.0000
nemo_gpu_run_vdlvr_dl,0.60,0.55,0.10,0.0115,0.0017,0.0008,0.0141,1.0000
nemo_gpu_run_vdlvr_nodl,0.60,0.55,0.10,0.0115,0.0017,0.0008,0.0141,1.0000
nemo_gpu_run_vgaez_dl,0.60,0.55,0.10,0.2692,0.0000,0.1468,0.4160,1.0000
nemo_gpu_run_vgaez_nodl,0.60,0.55,0.10,0.2692,0.0000,0.1468,0.4160,1.0000
nemo_gpu_run_vgevv_dl,0.60,0.55,0.10,0.1390,0.0055,0.3555,0.4999,1.0000
nemo_gpu_run_vgevv_nodl,0.60,0.55,0.10,0.1390,0.0055,0.3555,0.4999,1.0000
nemo_gpu_run_vncid_dl,0.60,0.55,0.10,0.0677,0.0005,0.3414,0.4096,1.0000
nemo_gpu_run_vncid_nodl,0.60,0.55,0.10,0.0685,0.0005,0.3027,0.3717,1.0000
nemo_gpu_run_vtzqw_dl,0.60,0.55,0.10,0.2643,0.0121,0.1227,0.3991,1.0000
nemo_gpu_run_vtzqw_nodl,0.60,0.55,0.10,0.2643,0.0121,0.1227,0.3991,1.0000
nemo_gpu_run_vuewy_dl,0.60,0.55,0.10,0.0161,0.0031,0.0013,0.0205,1.0000
nemo_gpu_run_vuewy_nodl,0.60,0.55,0.10,0.0161,0.0032,0.0015,0.0208,1.0000
nemo_gpu_run_vylyk_dl,0.60,0.55,0.10,0.7327,0.0000,0.1438,0.8765,1.0000
nemo_gpu_run_vylyk_nodl,0.60,0.55,0.10,0.7327,0.0000,0.1438,0.8765,1.0000
nemo_gpu_run_vzuru_dl,0.60,0.55,0.10,0.0150,0.0037,0.0664,0.0851,1.0000
nemo_gpu_run_vzuru_nodl,0.60,0.55,0.10,0.0150,0.0037,0.0664,0.0851,1.0000
nemo_gpu_run_wcxfk_dl,0.60,0.55,0.10,0.0009,0.0000,0.0024,0.0033,1.0000
nemo_gpu_run_wcxfk_nodl,0.60,0.55,0.10,0.0009,0.0000,0.0024,0.0033,1.0000
nemo_gpu_run_wdvva_dl,0.60,0.55,0.10,0.0239,0.0130,0.0000,0.0370,1.0000
nemo_gpu_run_wemos_dl,0.60,0.55,0.10,0.1805,0.0000,0.1640,0.3445,1.0000
nemo_gpu_run_wemos_nodl,0.60,0.55,0.10,0.1853,0.0000,0.2657,0.4509,1.0000
nemo_gpu_run_wibky_dl,0.60,0.55,0.10,0.2139,0.0000,0.0000,0.2139,1.0000
nemo_gpu_run_wibky_nodl,0.60,0.55,0.10,0.2139,0.0000,0.0000,0.2139,1.0000
nemo_gpu_run_wlfsf_dl,0.60,0.55,0.10,0.0232,0.0041,0.0858,0.1132,1.0000
nemo_gpu_run_wlfsf_nodl,0.60,0.55,0.10,0.0232,0.0041,0.0858,0.1132,1.0000
nemo_gpu_run_wprog_dl,0.60,0.55,0.10,0.3437,0.0283,0.0001,0.3721,1.0000
nemo_gpu_run_wprog_nodl,0.60,0.55,0.10,0.3437,0.0273,0.0001,0.3711,1.0000
nemo_gpu_run_wwvcs_dl,0.60,0.55,0.10,0.1783,0.0060,0.0271,0.2113,1.0000
nemo_gpu_run_wwvcs_nodl,0.60,0.55,0.10,0.1783,0.0060,0.0271,0.2113,1.0000
nemo_gpu_run_wwzsk_dl,0.60,0.55,0.10,0.0012,0.0031,0.0006,0.0048,1.0000
nemo_gpu_run_wwzsk_nodl,0.60,0.55,0.10,0.0012,0.0031,0.0006,0.0048,1.0000
nemo_gpu_run_xffsa_dl,0.60,0.55,0.10,0.0426,0.0101,0.1140,0.1668,1.0000
nemo_gpu_run_xffsa_nodl,0.60,0.55,0.10,0.0408,0.0087,0.4923,0.5418,1.0000
nemo_gpu_run_xggbk_dl,0.60,0.55,0.10,0.0333,0.0026,0.0440,0.0799,1.0000
nemo_gpu_run_xggbk_nodl,0.60,0.55,0.10,0.0326,0.0024,0.2867,0.3216,1.0000
nemo_gpu_run_xkgos_dl,0.60,0.55,0.10,0.0545,0.0136,0.2657,0.3339,1.0000
nemo_gpu_run_xkgos_nodl,0.60,0.55,0.10,0.0544,0.0103,0.0031,0.0678,1.0000
nemo_gpu_run_xkmqx_dl,0.60,0.55,0.10,0.0048,0.0237,0.2894,0.3180,1.0000
nemo_gpu_run_xkmqx_nodl,0.60,0.55,0.10,0.0373,0.0000,0.4639,0.5012,1.0000
nemo_gpu_run_xlsme_dl,0.60,0.55,0.10,0.1082,0.0060,0.0312,0.1454,1.0000
nemo_gpu_run_xlyov_dl,0.60,0.55,0.10,0.0256,0.0037,0.0000,0.0293,1.0000
nemo_gpu_run_xlyov_nodl,0.60,0.55,0.10,0.0256,0.0037,0.0000,0.0293,1.0000
nemo_gpu_run_xmyyy_dl,0.60,0.55,0.10,0.6112,0.0436,0.1650,0.8198,1.0000
nemo_gpu_run_xmyyy_nodl,0.60,0.55,0.10,0.6142,0.0335,0.1785,0.8262,1.0000
nemo_gpu_run_xqxkt_dl,0.60,0.55,0.10,0.0354,0.0056,0.4125,0.4535,1.0000
nemo_gpu_run_xqxkt_nodl,0.60,0.55,0.10,0.0417,0.0093,0.4587,0.5097,1.0000
nemo_gpu_run_xtdcl_dl,0.60,0.55,0.10,0.8541,0.0000,0.1011,0.9552,1.0000
nemo_gpu_run_xtdcl_nodl,0.60,0.55,0.10,0.8541,0.0000,0.1011,0.9552,1.0000
nemo_gpu_run_xtzoq_dl,0.60,0.55,0.10,0.1234,0.0184,0.0507,0.1925,1.0000
nemo_gpu_run_xvxwv_dl,0.60,0.55,0.10,0.0398,0.0000,0.0958,0.1356,1.0000
nemo_gpu_run_xvxwv_nodl,0.60,0.55,0.10,0.0398,0.0000,0.0958,0.1356,1.0000
nemo_gpu_run_ybhwz_dl,0.60,0.55,0.10,0.0140,0.0000,0.1940,0.2080,1.0000
nemo_gpu_run_ybhwz_nodl,0.60,0.55,0.10,0.0140,0.0000,0.1940,0.2080,1.0000
nemo_gpu_run_ygrip_dl,0.60,0.55,0.10,0.0366,0.0000,0.3162,0.3528,1.0000
nemo_gpu_run_ygrip_nodl,0.60,0.55,0.10,0.0366,0.0000,0.3162,0.3528,1.0000
nemo_gpu_run_ylgug_dl,0.60,0.55,0.10,0.0576,0.0025,0.4102,0.4703,1.0000
nemo_gpu_run_ylgug_nodl,0.60,0.55,0.10,0.0576,0.0025,0.4102,0.4703,1.0000
nemo_gpu_run_ylzez_dl,0.60,0.55,0.10,0.0514,0.0025,0.0002,0.0541,1.0000
nemo_gpu_run_ylzez_nodl,0.60,0.55,0.10,0.0514,0.0025,0.0002,0.0541,1.0000
nemo_gpu_run_ytmef_dl,0.60,0.55,0.10,0.0125,0.0091,0.0000,0.0216,1.0000
nemo_gpu_run_ytmef_nodl,0.60,0.55,0.10,0.0125,0.0091,0.0000,0.0216,1.0000
nemo_gpu_run_ytula_dl,0.60,0.55,0.10,0.1666,0.0027,0.0095,0.1789,1.0000
nemo_gpu_run_ytula_nodl,0.60,0.55,0.10,0.1666,0.0027,0.0095,0.1789,1.0000
nemo_gpu_run_yukhy_dl,0.60,0.55,0.10,0.0062,0.0034,0.0017,0.0113,1.0000
nemo_gpu_run_yukhy_nodl,0.60,0.55,0.10,0.0062,0.0034,0.0017,0.0113,1.0000
nemo_gpu_run_yzvon_dl,0.60,0.55,0.10,0.1353,0.0008,0.2036,0.3397,1.0000
nemo_gpu_run_yzvon_nodl,0.60,0.55,0.10,0.1359,0.0025,0.1856,0.3241,1.0000
nemo_gpu_run_zedtj_dl,0.60,0.55,0.10,0.0533,0.0045,0.0083,0.0661,1.0000
nemo_gpu_run_zedtj_nodl,0.60,0.55,0.10,0.0635,0.0025,0.0092,0.0752,1.0000
nemo_gpu_run_zehzu_dl,0.60,0.55,0.10,0.0180,0.0000,0.0021,0.0201,1.0000
nemo_gpu_run_zehzu_nodl,0.60,0.55,0.10,0.0180,0.0000,0.0021,0.0201,1.0000
nemo_gpu_run_zfzlc_dl,0.60,0.55,0.10,0.0240,0.0086,0.0017,0.0343,1.0000
nemo_gpu_run_zfzlc_nodl,0.60,0.55,0.10,0.0240,0.0100,0.0021,0.0361,1.0000
nemo_gpu_run_zowse_dl,0.60,0.55,0.10,0.0821,0.0097,0.0346,0.1264,1.0000
nemo_gpu_run_zqidv_dl,0.60,0.55,0.10,0.3488,0.0051,0.0408,0.3947,1.0000
nemo_gpu_run_zqidv_nodl,0.60,0.55,0.10,0.3488,0.0051,0.0408,0.3947,1.0000
nemo_gpu_run_zsgto_dl,0.60,0.55,0.10,0.0417,0.0033,0.1667,0.2117,1.0000
nemo_gpu_run_zsgto_nodl,0.60,0.55,0.10,0.0525,0.0018,0.0423,0.0966,1.0000
nemo_gpu_run_zzsba_dl,0.60,0.55,0.10,0.0474,0.0087,0.3784,0.4346,1.0000
nemo_gpu_run_zzsba_nodl,0.60,0.55,0.10,0.0474,0.0087,0.3784,0.4346,1.0000
nemo_gpu_run_zztbo_dl,0.60,0.55,0.10,0.3524,0.0119,0.0000,0.3643,1.0000
nemo_gpu_run_zztbo_nodl,0.60,0.55,0.10,0.3524,0.0119,0.0000,0.3643,1.0000
nemo_gpu_run_zzyyo_dl,0.60,0.55,0.10,0.0345,0.0061,0.2086,0.2491,1.0000
nemo_gpu_run_zzyyo_nodl,0.60,0.55,0.10,0.0339,0.0042,0.1131,0.1511,1.0000
nemo_gpu_run_ui_2_8907b9,0.60,0.55,0.10,0.0007,0.0064,0.0442,0.0514,1.0000
nemo_gpu_run_ui_2_99f486,0.60,0.55,0.10,0.0007,0.0079,0.0438,0.0523,1.0000
nemo_gpu_run_ui_fzwtp_40adb4,0.60,0.55,0.10,0.2243,0.0064,0.0767,0.3074,1.0000
