file_name,audio_path,audio_exists,duration_sec,gt_rttm_path,gt_exists,gt_segments,gt_unique_speakers,gt_total_speech_sec,pred_rttm_path,pred_exists,pred_segments,pred_unique_speakers,pred_total_speech_sec
aiqwk_dl,classbank_audio_data/audio_tmp/aiqwk_dl.wav,True,198.84800,classbank_audio_data/rttm/aiqwk.rttm,True,38,7,177.74,diarization_output/pred_rttms/aiqwk_dl.rttm,True,23,7,194.81
aorju_dl,classbank_audio_data/audio_tmp/aorju_dl.wav,True,1200.06400,classbank_audio_data/rttm/aorju.rttm,True,83,12,1071.67,diarization_output/pred_rttms/aorju_dl.rttm,True,213,12,1159.83
auzru_dl,classbank_audio_data/audio_tmp/auzru_dl.wav,True,515.90400,classbank_audio_data/rttm/auzru.rttm,True,30,8,508.77,diarization_output/pred_rttms/auzru_dl.rttm,True,20,8,515.90
aepyx_dl_fix,classbank_audio_data/audio_tmp/aepyx_dl_fix.wav,True,169.15200,classbank_audio_data/rttm/aepyx.rttm,True,30,4,148.29,diarization_output/pred_rttms/aepyx_dl_fix.rttm,True,18,4,166.53
aggyz_dl_fix,classbank_audio_data/audio_tmp/aggyz_dl_fix.wav,True,262.59200,classbank_audio_data/rttm/aggyz.rttm,True,33,13,249.56,diarization_output/pred_rttms/aggyz_dl_fix.rttm,True,43,13,262.21
aiqwk_dl_fix,classbank_audio_data/audio_tmp/aiqwk_dl_fix.wav,True,198.84800,classbank_audio_data/rttm/aiqwk.rttm,True,38,7,177.74,diarization_output/pred_rttms/aiqwk_dl_fix.rttm,True,31,7,194.73
aorju_dl_fix,classbank_audio_data/audio_tmp/aorju_dl_fix.wav,True,1200.06400,classbank_audio_data/rttm/aorju.rttm,True,83,12,1071.67,diarization_output/pred_rttms/aorju_dl_fix.rttm,True,232,12,1177.51
auzru_dl_fix,classbank_audio_data/audio_tmp/auzru_dl_fix.wav,True,515.90400,classbank_audio_data/rttm/auzru.rttm,True,30,8,508.77,diarization_output/pred_rttms/auzru_dl_fix.rttm,True,20,8,515.90
eauve_dl,classbank_audio_data/audio_tmp/eauve_dl.wav,True,1147.45600,classbank_audio_data/rttm/eauve.rttm,True,242,7,1258.51,diarization_output/pred_rttms/eauve_dl.rttm,True,324,7,1139.40
eauve_nodl,classbank_audio_data/audio_tmp/eauve_nodl.wav,True,1147.45600,classbank_audio_data/rttm/eauve.rttm,True,242,7,1258.51,diarization_output/pred_rttms/eauve_nodl.rttm,True,398,7,1138.41
dlast_dl,classbank_audio_data/audio_tmp/dlast_dl.wav,True,1200.06400,classbank_audio_data/rttm/dlast.rttm,True,61,9,1128.67,diarization_output/pred_rttms/dlast_dl.rttm,True,82,9,1189.12
dlast_nodl,classbank_audio_data/audio_tmp/dlast_nodl.wav,True,1200.06400,classbank_audio_data/rttm/dlast.rttm,True,61,9,1128.67,diarization_output/pred_rttms/dlast_nodl.rttm,True,82,9,1189.12
epygx_dl,classbank_audio_data/audio_tmp/epygx_dl.wav,True,1200.06400,classbank_audio_data/rttm/epygx.rttm,True,201,8,1037.01,diarization_output/pred_rttms/epygx_dl.rttm,True,87,8,1146.99
epygx_nodl,classbank_audio_data/audio_tmp/epygx_nodl.wav,True,1200.06400,classbank_audio_data/rttm/epygx.rttm,True,201,8,1037.01,diarization_output/pred_rttms/epygx_nodl.rttm,True,83,8,1140.92
2_dl,classbank_audio_data/audio_tmp/2_dl.wav,True,719.72575,classbank_audio_data/rttm/2.rttm,True,178,2,719.25,diarization_output/pred_rttms/2_dl.rttm,True,56,2,716.06
2_nodl,classbank_audio_data/audio_tmp/2_nodl.wav,True,719.72575,classbank_audio_data/rttm/2.rttm,True,178,2,719.25,diarization_output/pred_rttms/2_nodl.rttm,True,61,2,712.24
aepyx_dl,classbank_audio_data/audio_tmp/aepyx_dl.wav,True,169.15200,classbank_audio_data/rttm/aepyx.rttm,True,30,4,148.29,diarization_output/pred_rttms/aepyx_dl.rttm,True,18,4,166.53
aepyx_nodl,classbank_audio_data/audio_tmp/aepyx_nodl.wav,True,169.15200,classbank_audio_data/rttm/aepyx.rttm,True,30,4,148.29,diarization_output/pred_rttms/aepyx_nodl.rttm,True,18,4,166.53
aggyz_dl,classbank_audio_data/audio_tmp/aggyz_dl.wav,True,262.59200,classbank_audio_data/rttm/aggyz.rttm,True,33,13,249.56,diarization_output/pred_rttms/aggyz_dl.rttm,True,43,13,262.21
aggyz_nodl,classbank_audio_data/audio_tmp/aggyz_nodl.wav,True,262.59200,classbank_audio_data/rttm/aggyz.rttm,True,33,13,249.56,diarization_output/pred_rttms/aggyz_nodl.rttm,True,43,13,262.21
aiqwk_dl,classbank_audio_data/audio_tmp/aiqwk_dl.wav,True,198.84800,classbank_audio_data/rttm/aiqwk.rttm,True,38,7,177.74,diarization_output/pred_rttms/aiqwk_dl.rttm,True,23,7,194.81
aiqwk_nodl,classbank_audio_data/audio_tmp/aiqwk_nodl.wav,True,198.84800,classbank_audio_data/rttm/aiqwk.rttm,True,38,7,177.74,diarization_output/pred_rttms/aiqwk_nodl.rttm,True,31,7,194.73
aorju_dl,classbank_audio_data/audio_tmp/aorju_dl.wav,True,1200.06400,classbank_audio_data/rttm/aorju.rttm,True,83,12,1071.67,diarization_output/pred_rttms/aorju_dl.rttm,True,205,12,1144.66
aorju_nodl,classbank_audio_data/audio_tmp/aorju_nodl.wav,True,1200.06400,classbank_audio_data/rttm/aorju.rttm,True,83,12,1071.67,diarization_output/pred_rttms/aorju_nodl.rttm,True,213,12,1167.88
auzru_dl,classbank_audio_data/audio_tmp/auzru_dl.wav,True,515.90400,classbank_audio_data/rttm/auzru.rttm,True,30,8,508.77,diarization_output/pred_rttms/auzru_dl.rttm,True,20,8,515.90
auzru_nodl,classbank_audio_data/audio_tmp/auzru_nodl.wav,True,515.90400,classbank_audio_data/rttm/auzru.rttm,True,30,8,508.77,diarization_output/pred_rttms/auzru_nodl.rttm,True,20,8,515.90
