alpha=0.20, onset=0.30, offset=0.25,     | FA: 0.0913 | MISS: 0.2250 | CER: 0.0542 | DER: 0.3705 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.35, offset=0.25,     | FA: 0.0913 | MISS: 0.2253 | CER: 0.0520 | DER: 0.3686 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.40, offset=0.25,     | FA: 0.0912 | MISS: 0.2256 | CER: 0.0528 | DER: 0.3696 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.45, offset=0.25,     | FA: 0.0911 | MISS: 0.2258 | CER: 0.0525 | DER: 0.3694 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.50, offset=0.25,     | FA: 0.0910 | MISS: 0.2262 | CER: 0.0533 | DER: 0.3705 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.55, offset=0.25,     | FA: 0.0909 | MISS: 0.2266 | CER: 0.0524 | DER: 0.3699 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.60, offset=0.25,     | FA: 0.0909 | MISS: 0.2269 | CER: 0.0529 | DER: 0.3707 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.65, offset=0.25,     | FA: 0.0908 | MISS: 0.2272 | CER: 0.0533 | DER: 0.3713 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.70, offset=0.25,     | FA: 0.0907 | MISS: 0.2275 | CER: 0.0533 | DER: 0.3714 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.75, offset=0.25,     | FA: 0.0906 | MISS: 0.2278 | CER: 0.0535 | DER: 0.3719 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.80, offset=0.25,     | FA: 0.0905 | MISS: 0.2282 | CER: 0.0536 | DER: 0.3723 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.85, offset=0.25,     | FA: 0.0894 | MISS: 0.2307 | CER: 0.0525 | DER: 0.3726 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.90, offset=0.25,     | FA: 0.0846 | MISS: 0.2531 | CER: 0.0466 | DER: 0.3843 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.35, offset=0.30,     | FA: 0.0912 | MISS: 0.2256 | CER: 0.0535 | DER: 0.3703 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.40, offset=0.30,     | FA: 0.0911 | MISS: 0.2258 | CER: 0.0530 | DER: 0.3699 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.45, offset=0.30,     | FA: 0.0910 | MISS: 0.2261 | CER: 0.0529 | DER: 0.3700 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.50, offset=0.30,     | FA: 0.0909 | MISS: 0.2264 | CER: 0.0533 | DER: 0.3706 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.55, offset=0.30,     | FA: 0.0908 | MISS: 0.2269 | CER: 0.0525 | DER: 0.3701 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.60, offset=0.30,     | FA: 0.0908 | MISS: 0.2272 | CER: 0.0525 | DER: 0.3704 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.65, offset=0.30,     | FA: 0.0907 | MISS: 0.2275 | CER: 0.0530 | DER: 0.3712 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.70, offset=0.30,     | FA: 0.0905 | MISS: 0.2277 | CER: 0.0534 | DER: 0.3717 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.75, offset=0.30,     | FA: 0.0905 | MISS: 0.2281 | CER: 0.0534 | DER: 0.3720 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.80, offset=0.30,     | FA: 0.0904 | MISS: 0.2284 | CER: 0.0534 | DER: 0.3723 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.85, offset=0.30,     | FA: 0.0893 | MISS: 0.2309 | CER: 0.0524 | DER: 0.3726 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.90, offset=0.30,     | FA: 0.0845 | MISS: 0.2534 | CER: 0.0474 | DER: 0.3854 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.40, offset=0.35,     | FA: 0.0910 | MISS: 0.2261 | CER: 0.0540 | DER: 0.3711 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.45, offset=0.35,     | FA: 0.0909 | MISS: 0.2264 | CER: 0.0539 | DER: 0.3711 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.50, offset=0.35,     | FA: 0.0908 | MISS: 0.2267 | CER: 0.0542 | DER: 0.3717 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.55, offset=0.35,     | FA: 0.0907 | MISS: 0.2272 | CER: 0.0539 | DER: 0.3717 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.60, offset=0.35,     | FA: 0.0906 | MISS: 0.2275 | CER: 0.0540 | DER: 0.3721 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.65, offset=0.35,     | FA: 0.0906 | MISS: 0.2278 | CER: 0.0537 | DER: 0.3720 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.70, offset=0.35,     | FA: 0.0905 | MISS: 0.2281 | CER: 0.0530 | DER: 0.3715 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.75, offset=0.35,     | FA: 0.0905 | MISS: 0.2284 | CER: 0.0527 | DER: 0.3716 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.80, offset=0.35,     | FA: 0.0903 | MISS: 0.2287 | CER: 0.0533 | DER: 0.3724 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.85, offset=0.35,     | FA: 0.0892 | MISS: 0.2312 | CER: 0.0526 | DER: 0.3731 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.90, offset=0.35,     | FA: 0.0844 | MISS: 0.2538 | CER: 0.0460 | DER: 0.3842 | Spk. Count Acc. 1.0000
