alpha=0.20, onset=0.30, offset=0.25,     | FA: 0.0541 | MISS: 0.1675 | CER: 0.4103 | DER: 0.6319 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.35, offset=0.25,     | FA: 0.0541 | MISS: 0.1677 | CER: 0.4213 | DER: 0.6431 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.40, offset=0.25,     | FA: 0.0541 | MISS: 0.1683 | CER: 0.4442 | DER: 0.6666 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.45, offset=0.25,     | FA: 0.0540 | MISS: 0.1685 | CER: 0.4680 | DER: 0.6905 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.50, offset=0.25,     | FA: 0.0540 | MISS: 0.1692 | CER: 0.5212 | DER: 0.7443 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.55, offset=0.25,     | FA: 0.0539 | MISS: 0.1698 | CER: 0.4404 | DER: 0.6641 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.60, offset=0.25,     | FA: 0.0539 | MISS: 0.1702 | CER: 0.4130 | DER: 0.6371 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.65, offset=0.25,     | FA: 0.0538 | MISS: 0.1709 | CER: 0.4873 | DER: 0.7120 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.70, offset=0.25,     | FA: 0.0537 | MISS: 0.1714 | CER: 0.4195 | DER: 0.6446 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.75, offset=0.25,     | FA: 0.0537 | MISS: 0.1716 | CER: 0.4463 | DER: 0.6717 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.80, offset=0.25,     | FA: 0.0534 | MISS: 0.1723 | CER: 0.4325 | DER: 0.6582 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.85, offset=0.25,     | FA: 0.0531 | MISS: 0.1725 | CER: 0.4080 | DER: 0.6335 | Spk. Count Acc. 0.7500
