alpha=0.20, onset=0.30, offset=0.25,     | FA: 0.0913 | MISS: 0.2250 | CER: 0.1922 | DER: 0.5085 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.35, offset=0.25,     | FA: 0.0913 | MISS: 0.2253 | CER: 0.1878 | DER: 0.5045 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.40, offset=0.25,     | FA: 0.0912 | MISS: 0.2256 | CER: 0.1886 | DER: 0.5054 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.45, offset=0.25,     | FA: 0.0911 | MISS: 0.2258 | CER: 0.1962 | DER: 0.5131 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.50, offset=0.25,     | FA: 0.0910 | MISS: 0.2262 | CER: 0.1967 | DER: 0.5139 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.55, offset=0.25,     | FA: 0.0909 | MISS: 0.2266 | CER: 0.1997 | DER: 0.5172 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.60, offset=0.25,     | FA: 0.0909 | MISS: 0.2269 | CER: 0.1948 | DER: 0.5126 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.65, offset=0.25,     | FA: 0.0908 | MISS: 0.2272 | CER: 0.2116 | DER: 0.5297 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.70, offset=0.25,     | FA: 0.0907 | MISS: 0.2275 | CER: 0.2070 | DER: 0.5251 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.75, offset=0.25,     | FA: 0.0906 | MISS: 0.2278 | CER: 0.2054 | DER: 0.5238 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.80, offset=0.25,     | FA: 0.0905 | MISS: 0.2282 | CER: 0.2027 | DER: 0.5214 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.85, offset=0.25,     | FA: 0.0894 | MISS: 0.2307 | CER: 0.2043 | DER: 0.5244 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.90, offset=0.25,     | FA: 0.0846 | MISS: 0.2531 | CER: 0.1791 | DER: 0.5168 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.35, offset=0.30,     | FA: 0.0912 | MISS: 0.2256 | CER: 0.1950 | DER: 0.5118 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.40, offset=0.30,     | FA: 0.0911 | MISS: 0.2258 | CER: 0.1973 | DER: 0.5142 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.45, offset=0.30,     | FA: 0.0910 | MISS: 0.2261 | CER: 0.1965 | DER: 0.5136 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.50, offset=0.30,     | FA: 0.0909 | MISS: 0.2264 | CER: 0.1955 | DER: 0.5129 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.55, offset=0.30,     | FA: 0.0908 | MISS: 0.2269 | CER: 0.1932 | DER: 0.5109 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.60, offset=0.30,     | FA: 0.0908 | MISS: 0.2272 | CER: 0.1932 | DER: 0.5111 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.65, offset=0.30,     | FA: 0.0907 | MISS: 0.2275 | CER: 0.2003 | DER: 0.5185 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.70, offset=0.30,     | FA: 0.0905 | MISS: 0.2277 | CER: 0.2046 | DER: 0.5228 | Spk. Count Acc. 1.0000
