alpha=1.0, onset=0.30, offset=0.25,     | FA: 0.0771 | MISS: 0.2431 | CER: 0.0389 | DER: 0.3591 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.35, offset=0.25,     | FA: 0.0765 | MISS: 0.2501 | CER: 0.0337 | DER: 0.3603 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.40, offset=0.25,     | FA: 0.0752 | MISS: 0.2585 | CER: 0.0353 | DER: 0.3690 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.45, offset=0.25,     | FA: 0.0728 | MISS: 0.2686 | CER: 0.0335 | DER: 0.3748 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.50, offset=0.25,     | FA: 0.0715 | MISS: 0.2787 | CER: 0.0330 | DER: 0.3832 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.55, offset=0.25,     | FA: 0.0699 | MISS: 0.2908 | CER: 0.0290 | DER: 0.3897 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.60, offset=0.25,     | FA: 0.0683 | MISS: 0.3009 | CER: 0.0302 | DER: 0.3994 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.65, offset=0.25,     | FA: 0.0653 | MISS: 0.3147 | CER: 0.0306 | DER: 0.4106 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.70, offset=0.25,     | FA: 0.0625 | MISS: 0.3302 | CER: 0.0307 | DER: 0.4233 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.75, offset=0.25,     | FA: 0.0597 | MISS: 0.3496 | CER: 0.0280 | DER: 0.4373 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.80, offset=0.25,     | FA: 0.0567 | MISS: 0.3777 | CER: 0.0268 | DER: 0.4613 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.85, offset=0.25,     | FA: 0.0516 | MISS: 0.4122 | CER: 0.0255 | DER: 0.4893 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.90, offset=0.25,     | FA: 0.0455 | MISS: 0.4557 | CER: 0.0253 | DER: 0.5265 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.35, offset=0.30,     | FA: 0.0680 | MISS: 0.2907 | CER: 0.0314 | DER: 0.3901 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.40, offset=0.30,     | FA: 0.0674 | MISS: 0.2985 | CER: 0.0301 | DER: 0.3960 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.45, offset=0.30,     | FA: 0.0656 | MISS: 0.3089 | CER: 0.0291 | DER: 0.4037 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.50, offset=0.30,     | FA: 0.0643 | MISS: 0.3181 | CER: 0.0293 | DER: 0.4117 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.55, offset=0.30,     | FA: 0.0628 | MISS: 0.3290 | CER: 0.0305 | DER: 0.4224 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.60, offset=0.30,     | FA: 0.0614 | MISS: 0.3394 | CER: 0.0280 | DER: 0.4288 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.65, offset=0.30,     | FA: 0.0592 | MISS: 0.3537 | CER: 0.0281 | DER: 0.4410 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.70, offset=0.30,     | FA: 0.0566 | MISS: 0.3672 | CER: 0.0266 | DER: 0.4505 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.75, offset=0.30,     | FA: 0.0540 | MISS: 0.3850 | CER: 0.0264 | DER: 0.4653 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.80, offset=0.30,     | FA: 0.0518 | MISS: 0.4110 | CER: 0.0271 | DER: 0.4899 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.85, offset=0.30,     | FA: 0.0467 | MISS: 0.4449 | CER: 0.0248 | DER: 0.5164 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.90, offset=0.30,     | FA: 0.0411 | MISS: 0.4894 | CER: 0.0250 | DER: 0.5555 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.40, offset=0.35,     | FA: 0.0606 | MISS: 0.3380 | CER: 0.0269 | DER: 0.4255 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.45, offset=0.35,     | FA: 0.0594 | MISS: 0.3472 | CER: 0.0277 | DER: 0.4343 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.50, offset=0.35,     | FA: 0.0578 | MISS: 0.3551 | CER: 0.0267 | DER: 0.4396 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.55, offset=0.35,     | FA: 0.0566 | MISS: 0.3660 | CER: 0.0258 | DER: 0.4483 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.60, offset=0.35,     | FA: 0.0551 | MISS: 0.3770 | CER: 0.0266 | DER: 0.4587 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.65, offset=0.35,     | FA: 0.0532 | MISS: 0.3900 | CER: 0.0260 | DER: 0.4692 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.70, offset=0.35,     | FA: 0.0508 | MISS: 0.4037 | CER: 0.0253 | DER: 0.4798 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.75, offset=0.35,     | FA: 0.0494 | MISS: 0.4224 | CER: 0.0262 | DER: 0.4979 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.80, offset=0.35,     | FA: 0.0474 | MISS: 0.4464 | CER: 0.0268 | DER: 0.5207 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.85, offset=0.35,     | FA: 0.0424 | MISS: 0.4783 | CER: 0.0229 | DER: 0.5436 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.90, offset=0.35,     | FA: 0.0370 | MISS: 0.5246 | CER: 0.0230 | DER: 0.5846 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.45, offset=0.40,     | FA: 0.0519 | MISS: 0.3892 | CER: 0.0248 | DER: 0.4659 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.50, offset=0.40,     | FA: 0.0510 | MISS: 0.3964 | CER: 0.0232 | DER: 0.4706 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.55, offset=0.40,     | FA: 0.0501 | MISS: 0.4053 | CER: 0.0260 | DER: 0.4813 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.60, offset=0.40,     | FA: 0.0490 | MISS: 0.4164 | CER: 0.0238 | DER: 0.4893 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.65, offset=0.40,     | FA: 0.0475 | MISS: 0.4289 | CER: 0.0271 | DER: 0.5035 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.70, offset=0.40,     | FA: 0.0453 | MISS: 0.4414 | CER: 0.0247 | DER: 0.5114 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.75, offset=0.40,     | FA: 0.0438 | MISS: 0.4595 | CER: 0.0250 | DER: 0.5283 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.80, offset=0.40,     | FA: 0.0418 | MISS: 0.4829 | CER: 0.0247 | DER: 0.5494 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.85, offset=0.40,     | FA: 0.0380 | MISS: 0.5119 | CER: 0.0223 | DER: 0.5721 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.90, offset=0.40,     | FA: 0.0330 | MISS: 0.5568 | CER: 0.0238 | DER: 0.6136 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.50, offset=0.45,     | FA: 0.0473 | MISS: 0.4405 | CER: 0.0256 | DER: 0.5134 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.55, offset=0.45,     | FA: 0.0461 | MISS: 0.4476 | CER: 0.0214 | DER: 0.5151 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.60, offset=0.45,     | FA: 0.0454 | MISS: 0.4575 | CER: 0.0239 | DER: 0.5268 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.65, offset=0.45,     | FA: 0.0438 | MISS: 0.4689 | CER: 0.0235 | DER: 0.5362 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.70, offset=0.45,     | FA: 0.0415 | MISS: 0.4794 | CER: 0.0216 | DER: 0.5425 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.75, offset=0.45,     | FA: 0.0403 | MISS: 0.4959 | CER: 0.0270 | DER: 0.5632 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.80, offset=0.45,     | FA: 0.0382 | MISS: 0.5167 | CER: 0.0218 | DER: 0.5766 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.85, offset=0.45,     | FA: 0.0349 | MISS: 0.5443 | CER: 0.0210 | DER: 0.6001 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.90, offset=0.45,     | FA: 0.0305 | MISS: 0.5863 | CER: 0.0217 | DER: 0.6385 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.55, offset=0.50,     | FA: 0.0415 | MISS: 0.4889 | CER: 0.0214 | DER: 0.5518 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.60, offset=0.50,     | FA: 0.0405 | MISS: 0.4990 | CER: 0.0224 | DER: 0.5618 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.65, offset=0.50,     | FA: 0.0390 | MISS: 0.5086 | CER: 0.0243 | DER: 0.5719 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.70, offset=0.50,     | FA: 0.0372 | MISS: 0.5187 | CER: 0.0229 | DER: 0.5788 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.75, offset=0.50,     | FA: 0.0360 | MISS: 0.5334 | CER: 0.0225 | DER: 0.5919 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.80, offset=0.50,     | FA: 0.0341 | MISS: 0.5525 | CER: 0.0205 | DER: 0.6071 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.85, offset=0.50,     | FA: 0.0317 | MISS: 0.5776 | CER: 0.0211 | DER: 0.6304 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.90, offset=0.50,     | FA: 0.0279 | MISS: 0.6155 | CER: 0.0225 | DER: 0.6659 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.60, offset=0.55,     | FA: 0.0343 | MISS: 0.5419 | CER: 0.0209 | DER: 0.5972 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.65, offset=0.55,     | FA: 0.0329 | MISS: 0.5505 | CER: 0.0223 | DER: 0.6057 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.70, offset=0.55,     | FA: 0.0316 | MISS: 0.5593 | CER: 0.0206 | DER: 0.6115 | Spk. Count Acc. 1.0000
