alpha=0.10, onset=0.30, offset=0.25,     | FA: 0.0541 | MISS: 0.1687 | CER: 0.0438 | DER: 0.2665 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.35, offset=0.25,     | FA: 0.0540 | MISS: 0.1690 | CER: 0.0484 | DER: 0.2714 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.40, offset=0.25,     | FA: 0.0540 | MISS: 0.1694 | CER: 0.0434 | DER: 0.2668 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.45, offset=0.25,     | FA: 0.0540 | MISS: 0.1699 | CER: 0.0429 | DER: 0.2668 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.50, offset=0.25,     | FA: 0.0540 | MISS: 0.1704 | CER: 0.0417 | DER: 0.2661 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.55, offset=0.25,     | FA: 0.0539 | MISS: 0.1708 | CER: 0.0480 | DER: 0.2727 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.60, offset=0.25,     | FA: 0.0538 | MISS: 0.1715 | CER: 0.0411 | DER: 0.2663 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.65, offset=0.25,     | FA: 0.0537 | MISS: 0.1721 | CER: 0.0437 | DER: 0.2696 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.70, offset=0.25,     | FA: 0.0537 | MISS: 0.1724 | CER: 0.0451 | DER: 0.2711 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.75, offset=0.25,     | FA: 0.0537 | MISS: 0.1727 | CER: 0.0456 | DER: 0.2720 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.80, offset=0.25,     | FA: 0.0536 | MISS: 0.1732 | CER: 0.0456 | DER: 0.2725 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.85, offset=0.25,     | FA: 0.0534 | MISS: 0.1735 | CER: 0.0493 | DER: 0.2762 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.90, offset=0.25,     | FA: 0.0531 | MISS: 0.1741 | CER: 0.0470 | DER: 0.2742 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.35, offset=0.30,     | FA: 0.0540 | MISS: 0.1694 | CER: 0.0444 | DER: 0.2677 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.40, offset=0.30,     | FA: 0.0539 | MISS: 0.1698 | CER: 0.0465 | DER: 0.2703 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.45, offset=0.30,     | FA: 0.0539 | MISS: 0.1703 | CER: 0.0420 | DER: 0.2662 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.50, offset=0.30,     | FA: 0.0539 | MISS: 0.1708 | CER: 0.0435 | DER: 0.2681 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.55, offset=0.30,     | FA: 0.0539 | MISS: 0.1712 | CER: 0.0473 | DER: 0.2724 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.60, offset=0.30,     | FA: 0.0537 | MISS: 0.1719 | CER: 0.0445 | DER: 0.2701 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.65, offset=0.30,     | FA: 0.0537 | MISS: 0.1725 | CER: 0.0445 | DER: 0.2707 | Spk. Count Acc. 1.0000
