alpha=0.20, onset=0.30, offset=0.25,     | FA: 0.0541 | MISS: 0.1682 | CER: 0.4591 | DER: 0.6815 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.35, offset=0.25,     | FA: 0.0541 | MISS: 0.1686 | CER: 0.4401 | DER: 0.6628 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.40, offset=0.25,     | FA: 0.0540 | MISS: 0.1690 | CER: 0.4914 | DER: 0.7144 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.45, offset=0.25,     | FA: 0.0540 | MISS: 0.1696 | CER: 0.4229 | DER: 0.6465 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.50, offset=0.25,     | FA: 0.0540 | MISS: 0.1701 | CER: 0.4503 | DER: 0.6744 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.55, offset=0.25,     | FA: 0.0539 | MISS: 0.1707 | CER: 0.4161 | DER: 0.6408 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.60, offset=0.25,     | FA: 0.0538 | MISS: 0.1712 | CER: 0.4255 | DER: 0.6504 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.65, offset=0.25,     | FA: 0.0537 | MISS: 0.1718 | CER: 0.4095 | DER: 0.6350 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.70, offset=0.25,     | FA: 0.0537 | MISS: 0.1722 | CER: 0.4532 | DER: 0.6791 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.75, offset=0.25,     | FA: 0.0537 | MISS: 0.1726 | CER: 0.4248 | DER: 0.6511 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.80, offset=0.25,     | FA: 0.0536 | MISS: 0.1731 | CER: 0.4613 | DER: 0.6880 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.85, offset=0.25,     | FA: 0.0520 | MISS: 0.1809 | CER: 0.4312 | DER: 0.6640 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.90, offset=0.25,     | FA: 0.0503 | MISS: 0.1917 | CER: 0.4388 | DER: 0.6808 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.35, offset=0.30,     | FA: 0.0540 | MISS: 0.1690 | CER: 0.5177 | DER: 0.7407 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.40, offset=0.30,     | FA: 0.0540 | MISS: 0.1693 | CER: 0.4520 | DER: 0.6753 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.45, offset=0.30,     | FA: 0.0539 | MISS: 0.1699 | CER: 0.4330 | DER: 0.6569 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.50, offset=0.30,     | FA: 0.0539 | MISS: 0.1704 | CER: 0.4366 | DER: 0.6610 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.55, offset=0.30,     | FA: 0.0539 | MISS: 0.1711 | CER: 0.4230 | DER: 0.6479 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.60, offset=0.30,     | FA: 0.0537 | MISS: 0.1715 | CER: 0.4385 | DER: 0.6637 | Spk. Count Acc. 0.7500
