alpha=0.20, onset=0.30, offset=0.25,     | FA: 0.0541 | MISS: 0.1675 | CER: 0.0435 | DER: 0.2651 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.35, offset=0.25,     | FA: 0.0541 | MISS: 0.1677 | CER: 0.0495 | DER: 0.2713 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.40, offset=0.25,     | FA: 0.0541 | MISS: 0.1683 | CER: 0.0448 | DER: 0.2672 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.45, offset=0.25,     | FA: 0.0540 | MISS: 0.1685 | CER: 0.0453 | DER: 0.2678 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.50, offset=0.25,     | FA: 0.0540 | MISS: 0.1692 | CER: 0.0443 | DER: 0.2675 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.55, offset=0.25,     | FA: 0.0539 | MISS: 0.1698 | CER: 0.0434 | DER: 0.2671 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.60, offset=0.25,     | FA: 0.0539 | MISS: 0.1702 | CER: 0.0445 | DER: 0.2686 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.65, offset=0.25,     | FA: 0.0538 | MISS: 0.1709 | CER: 0.0442 | DER: 0.2689 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.70, offset=0.25,     | FA: 0.0537 | MISS: 0.1714 | CER: 0.0423 | DER: 0.2675 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.75, offset=0.25,     | FA: 0.0537 | MISS: 0.1716 | CER: 0.0464 | DER: 0.2717 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.80, offset=0.25,     | FA: 0.0534 | MISS: 0.1723 | CER: 0.0484 | DER: 0.2741 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.85, offset=0.25,     | FA: 0.0531 | MISS: 0.1725 | CER: 0.0451 | DER: 0.2706 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.90, offset=0.25,     | FA: 0.0475 | MISS: 0.1819 | CER: 0.0465 | DER: 0.2759 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.35, offset=0.30,     | FA: 0.0540 | MISS: 0.1681 | CER: 0.0472 | DER: 0.2694 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.40, offset=0.30,     | FA: 0.0540 | MISS: 0.1688 | CER: 0.0438 | DER: 0.2665 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.45, offset=0.30,     | FA: 0.0540 | MISS: 0.1690 | CER: 0.0454 | DER: 0.2683 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.50, offset=0.30,     | FA: 0.0539 | MISS: 0.1696 | CER: 0.0592 | DER: 0.2827 | Spk. Count Acc. 1.0000
